"experiment"	"construct batch"	"gene"	"clone_id"	"cloneid"	"left_arm_length"	"right_arm_length"
"met2"	"barseq_0002"	"PBANKA_050260"	22941	"PbGEM-013799"	5018	703
"met2"	"barseq_0002"	"PBANKA_050500"	23115	"PbGEM-085541"	401	2595
"met2"	"barseq_0002"	"PBANKA_050700"	23114	"PbGEM-085651"	641	3733
"met2"	"barseq_0002"	"PBANKA_051220"	22923	"PbGEM-015197"	785	4234
"met2"	"barseq_0002"	"PBANKA_051670"	23136	"PbGEM-086260"	1360	1238
"met2"	"barseq_0002"	"PBANKA_051760"	22992	"PbGEM-086320"	3302	767
"met2"	"barseq_0002"	"PBANKA_060100"	22896	"PbGEM-017095"	2754	561
"met2"	"barseq_0002"	"PBANKA_060350"	22908	"PbGEM-017450"	2389	4024
"met2"	"barseq_0002"	"PBANKA_060520"	23016	"PbGEM-087102"	2506	882
"met2"	"barseq_0002"	"PBANKA_061040"	22994	"PbGEM-087402"	2232	658
"met2"	"barseq_0002"	"PBANKA_061110"	23117	"PbGEM-087458"	1035	2457
"met2"	"barseq_0002"	"PBANKA_061160"	23126	"PbGEM-087493"	2420	1268
"met2"	"barseq_0002"	"PBANKA_061430"	22894	"PbGEM-018972"	978	5770
"met2"	"barseq_0002"	"PBANKA_061540"	23005	"PbGEM-087828"	810	4428
"met2"	"barseq_0002"	"PBANKA_061880"	22912	"PbGEM-019636"	2746	1594
"met2"	"barseq_0002"	"PBANKA_070250"	22998	"PbGEM-088659"	3142	1584
"met2"	"barseq_0002"	"PBANKA_070410"	23033	"PbGEM-088775"	4984	1261
"met2"	"barseq_0002"	"PBANKA_070700"	23101	"PbGEM-088924"	4159	2536
"met2"	"barseq_0002"	"PBANKA_071010"	22898	"PbGEM-021746"	2894	989
"met2"	"barseq_0002"	"PBANKA_071760"	23131	"PbGEM-089700"	1413	4341
"met2"	"barseq_0002"	"PBANKA_080260"	22925	"PbGEM-023719"	6365	699
"met2"	"barseq_0002"	"PBANKA_080630"	23064	"PbGEM-090491"	4266	707
"met2"	"barseq_0002"	"PBANKA_080650"	23054	"PbGEM-090509"	6479	1120
"met2"	"barseq_0002"	"PBANKA_080930"	23127	"PbGEM-090635"	973	4179
"met2"	"barseq_0002"	"PBANKA_081060"	22927	"PbGEM-024795"	2611	1125
"met2"	"barseq_0002"	"PBANKA_081210"	23078	"PbGEM-090803"	1665	4654
"met2"	"barseq_0002"	"PBANKA_082170"	23022	"PbGEM-091380"	4600	701
"met2"	"barseq_0002"	"PBANKA_082350"	22972	"PbGEM-026453"	3228	1639
"met2"	"barseq_0002"	"PBANKA_082520"	22891	"PbGEM-026648"	1819	5250
"met2"	"barseq_0002"	"PBANKA_082750"	22893	"PbGEM-026953"	754	5215
"met2"	"barseq_0002"	"PBANKA_090140"	23014	"PbGEM-092506"	4971	612
"met2"	"barseq_0002"	"PBANKA_090160"	23002	"PbGEM-092538"	808	2713
"met2"	"barseq_0002"	"PBANKA_091020"	22951	"PbGEM-029668"	2180	7343
"met2"	"barseq_0002"	"PBANKA_091790"	23135	"PbGEM-093561"	1520	2966
"met2"	"barseq_0002"	"PBANKA_091820"	22993	"PbGEM-093581"	2042	3083
"met2"	"barseq_0002"	"PBANKA_092110"	23084	"PbGEM-093744"	5985	1412
"met2"	"barseq_0002"	"PBANKA_092370"	23107	"PbGEM-093915"	3717	1600
"met2"	"barseq_0002"	"PBANKA_092980"	23057	"PbGEM-094275"	401	6700
"met2"	"barseq_0002"	"PBANKA_093140"	23100	"PbGEM-094412"	785	4010
"met2"	"barseq_0002"	"PBANKA_093850"	22959	"PbGEM-033491"	7681	855
"met2"	"barseq_0002"	"PBANKA_093960"	23026	"PbGEM-094941"	401	1176
"met2"	"barseq_0002"	"PBANKA_094290"	22936	"PbGEM-034097"	6563	2438
"met2"	"barseq_0002"	"PBANKA_100270"	22949	"PbGEM-034647"	651	6932
"met2"	"barseq_0002"	"PBANKA_100880"	23093	"PbGEM-095910"	5172	709
"met2"	"barseq_0002"	"PBANKA_101400"	23008	"PbGEM-096343"	4739	747
"met2"	"barseq_0002"	"PBANKA_101620"	22939	"PbGEM-036667"	2254	1201
"met2"	"barseq_0002"	"PBANKA_102010"	23133	"PbGEM-096670"	1315	1996
"met2"	"barseq_0002"	"PBANKA_102340"	23018	"PbGEM-096918"	3985	616
"met2"	"barseq_0002"	"PBANKA_102520"	23109	"PbGEM-097010"	3616	797
"met2"	"barseq_0002"	"PBANKA_103260"	22903	"PbGEM-038966"	1011	4506
"met2"	"barseq_0002"	"PBANKA_110650"	22996	"PbGEM-098459"	4516	699
"met2"	"barseq_0002"	"PBANKA_110920"	23088	"PbGEM-098688"	579	4949
"met2"	"barseq_0002"	"PBANKA_111100"	23043	"PbGEM-098813"	5029	401
"met2"	"barseq_0002"	"PBANKA_111370"	22942	"PbGEM-041992"	7887	1370
"met2"	"barseq_0002"	"PBANKA_111810"	22919	"PbGEM-042605"	3190	1281
"met2"	"barseq_0002"	"PBANKA_112290"	23097	"PbGEM-099513"	731	3925
"met2"	"barseq_0002"	"PBANKA_112450"	23052	"PbGEM-099615"	5787	1052
"met2"	"barseq_0002"	"PBANKA_113770"	22926	"PbGEM-045359"	5057	958
"met2"	"barseq_0002"	"PBANKA_113970"	22986	"PbGEM-100801"	4395	919
"met2"	"barseq_0002"	"PBANKA_114130"	23060	"PbGEM-100931"	1205	6477
"met2"	"barseq_0002"	"PBANKA_114240"	23089	"PbGEM-100993"	4527	1099
"met2"	"barseq_0002"	"PBANKA_114360"	23140	"PbGEM-101136"	7721	598
"met2"	"barseq_0002"	"PBANKA_120640"	23128	"PbGEM-101822"	4887	940
"met2"	"barseq_0002"	"PBANKA_120800"	23120	"PbGEM-101938"	674	3851
"met2"	"barseq_0002"	"PBANKA_121340"	22950	"PbGEM-048328"	6162	1130
"met2"	"barseq_0002"	"PBANKA_121370"	22888	"PbGEM-048376"	1517	7228
"met2"	"barseq_0002"	"PBANKA_122030"	23059	"PbGEM-102772"	1296	6641
"met2"	"barseq_0002"	"PBANKA_122840"	23015	"PbGEM-103204"	1260	2520
"met2"	"barseq_0002"	"PBANKA_123150"	22909	"PbGEM-050934"	838	4393
"met2"	"barseq_0002"	"PBANKA_123310"	22900	"PbGEM-051134"	922	4805
"met2"	"barseq_0002"	"PBANKA_130260"	22960	"PbGEM-053387"	5830	567
"met2"	"barseq_0002"	"PBANKA_130620"	22937	"PbGEM-053942"	4897	2000
"met2"	"barseq_0002"	"PBANKA_131460"	22952	"PbGEM-055150"	723	8466
"met2"	"barseq_0002"	"PBANKA_131750"	23110	"PbGEM-105499"	4311	628
"met2"	"barseq_0002"	"PBANKA_131810"	23013	"PbGEM-105546"	882	2908
"met2"	"barseq_0002"	"PBANKA_132970"	23118	"PbGEM-106501"	3036	401
"met2"	"barseq_0002"	"PBANKA_133040"	23004	"PbGEM-106571"	4159	1215
"met2"	"barseq_0002"	"PBANKA_133060"	23094	"PbGEM-106603"	1078	4300
"met2"	"barseq_0002"	"PBANKA_134000"	23111	"PbGEM-107204"	777	4237
"met2"	"barseq_0002"	"PBANKA_134400"	23143	"PbGEM-107445"	3066	4098
"met2"	"barseq_0002"	"PBANKA_134660"	22953	"PbGEM-059567"	1558	5748
"met2"	"barseq_0002"	"PBANKA_135080"	23087	"PbGEM-107959"	957	3242
"met2"	"barseq_0002"	"PBANKA_135200"	23001	"PbGEM-108060"	4289	1427
"met2"	"barseq_0002"	"PBANKA_135470"	23121	"PbGEM-108296"	815	3740
"met2"	"barseq_0002"	"PBANKA_135590"	23003	"PbGEM-108369"	3609	811
"met2"	"barseq_0002"	"PBANKA_135620"	23080	"PbGEM-108389"	809	5305
"met2"	"barseq_0002"	"PBANKA_135770"	23051	"PbGEM-108459"	8751	665
"met2"	"barseq_0002"	"PBANKA_135860"	23050	"PbGEM-108540"	1005	7639
"met2"	"barseq_0002"	"PBANKA_136000"	23102	"PbGEM-108701"	3900	875
"met2"	"barseq_0002"	"PBANKA_136050"	23048	"PbGEM-108739"	834	5927
"met2"	"barseq_0002"	"PBANKA_136200"	23068	"PbGEM-108832"	1254	7633
"met2"	"barseq_0002"	"PBANKA_140490"	22965	"PbGEM-062962"	1367	7296
"met2"	"barseq_0002"	"PBANKA_140550"	23041	"PbGEM-109462"	9357	865
"met2"	"barseq_0002"	"PBANKA_140670"	22924	"PbGEM-063222"	1485	401
"met2"	"barseq_0002"	"PBANKA_140810"	23024	"PbGEM-109598"	5459	777
"met2"	"barseq_0002"	"PBANKA_141030"	23067	"PbGEM-109859"	1314	3219
"met2"	"barseq_0002"	"PBANKA_141310"	22933	"PbGEM-064078"	5539	583
"met2"	"barseq_0002"	"PBANKA_141510"	23090	"PbGEM-110144"	2285	1468
"met2"	"barseq_0002"	"PBANKA_141910"	23062	"PbGEM-110413"	1919	6314
"met2"	"barseq_0002"	"PBANKA_142270"	22915	"PbGEM-065418"	1311	6344
"met2"	"barseq_0002"	"PBANKA_142700"	22928	"PbGEM-066015"	575	4184
"met2"	"barseq_0002"	"PBANKA_142880"	23130	"PbGEM-111006"	2179	3146
"met2"	"barseq_0002"	"PBANKA_142970"	23055	"PbGEM-111101"	5693	584
"met2"	"barseq_0002"	"PBANKA_143080"	23073	"PbGEM-111172"	820	6970
"met2"	"barseq_0002"	"PBANKA_143830"	23021	"PbGEM-079417"	401	2487
"met2"	"barseq_0002"	"PBANKA_143950"	22897	"PbGEM-067863"	3199	2301
"met2"	"barseq_0002"	"PBANKA_144000"	22917	"PbGEM-067943"	401	4223
"met2"	"barseq_0002"	"PBANKA_144160"	23112	"PbGEM-079665"	4534	401
"met2"	"barseq_0002"	"PBANKA_144850"	23046	"PbGEM-080062"	401	4994
"met2"	"barseq_0002"	"PBANKA_145330"	22895	"PbGEM-069893"	1846	3530
"met2"	"barseq_0002"	"PBANKA_145600"	22990	"PbGEM-080660"	3988	1672
"met2"	"barseq_0002"	"PBANKA_146030"	23116	"PbGEM-080872"	1553	4251
"met2"	"barseq_0002"	"PBANKA_146280"	23063	"PbGEM-080987"	1008	5460
						
"met3"	"barseq_0003"	"PBANKA_020970"	23156	"PbGEM-082477"	2651	4748
"met3"	"barseq_0003"	"PBANKA_021190"	143871	"PbGEM-226941"	2457	756
"met3"	"barseq_0003"	"PBANKA_030240"	23177	"PbGEM-083023"	4469	3663
"met3"	"barseq_0003"	"PBANKA_031000"	143858	"PbGEM-229258"	1668	3949
"met3"	"barseq_0003"	"PBANKA_031180"	23151	"PbGEM-083698"	1377	9702
"met3"	"barseq_0003"	"PBANKA_031250"	143922	"PbGEM-229775"	1036	5061
"met3"	"barseq_0003"	"PBANKA_031540"	143881	"PbGEM-230276"	401	5426
"met3"	"barseq_0003"	"PBANKA_040160"	143879	"PbGEM-230638"	1504	3768
"met3"	"barseq_0003"	"PBANKA_041170"	143896	"PbGEM-230293"	834	5120
"met3"	"barseq_0003"	"PBANKA_050570"	143860	"PbGEM-230776"	4134	1144
"met3"	"barseq_0003"	"PBANKA_050650"	143890	"PbGEM-230925"	544	4452
"met3"	"barseq_0003"	"PBANKA_050690"	143870	"PbGEM-230990"	980	6386
"met3"	"barseq_0003"	"PBANKA_051400"	143861	"PbGEM-231887"	874	6851
"met3"	"barseq_0003"	"PBANKA_051780"	143874	"PbGEM-232532"	3567	1717
"met3"	"barseq_0003"	"PBANKA_061100"	143893	"PbGEM-233650"	1315	6157
"met3"	"barseq_0003"	"PBANKA_070900"	143907	"PbGEM-234649"	5967	709
"met3"	"barseq_0003"	"PBANKA_072060"	143982	"PbGEM-236973"	3468	3555
"met3"	"barseq_0003"	"PBANKA_080570"	143897	"PbGEM-236235"	4538	631
"met3"	"barseq_0003"	"PBANKA_082030"	143867	"PbGEM-239637"	3495	1837
"met3"	"barseq_0003"	"PBANKA_083100"	143864	"PbGEM-259972"	1406	627
"met3"	"barseq_0003"	"PBANKA_091380"	23165	"PbGEM-093267"	6101	2364
"met3"	"barseq_0003"	"PBANKA_092150"	143929	"PbGEM-240466"	2790	4683
"met3"	"barseq_0003"	"PBANKA_093250"	143856	"PbGEM-239468"	920	2397
"met3"	"barseq_0003"	"PBANKA_093980"	143866	"PbGEM-241174"	3601	765
"met3"	"barseq_0003"	"PBANKA_094020"	143996	"PbGEM-241251"	2953	1104
"met3"	"barseq_0003"	"PBANKA_101520"	143946	"PbGEM-263108"	4790	1679
"met3"	"barseq_0003"	"PBANKA_101640"	143852	"PbGEM-263196"	7222	401
"met3"	"barseq_0003"	"PBANKA_103110"	23182	"PbGEM-097373"	670	5694
"met3"	"barseq_0003"	"PBANKA_103360"	143892	"PbGEM-242532"	5453	958
"met3"	"barseq_0003"	"PBANKA_103410"	143895	"PbGEM-242674"	2569	1577
"met3"	"barseq_0003"	"PBANKA_103830"	143855	"PbGEM-243678"	2249	4015
"met3"	"barseq_0003"	"PBANKA_110300"	143914	"PbGEM-244820"	2612	2890
"met3"	"barseq_0003"	"PBANKA_110480"	143994	"PbGEM-245297"	783	6512
"met3"	"barseq_0003"	"PBANKA_110860"	143868	"PbGEM-246508"	5468	760
"met3"	"barseq_0003"	"PBANKA_111190"	143911	"PbGEM-243555"	5177	1726
"met3"	"barseq_0003"	"PBANKA_111470"	143894	"PbGEM-244426"	4560	1638
"met3"	"barseq_0003"	"PBANKA_112110"	143872	"PbGEM-246288"	557	3301
"met3"	"barseq_0003"	"PBANKA_112210"	143939	"PbGEM-246569"	789	5480
"met3"	"barseq_0003"	"PBANKA_112610"	144105	"PbGEM-247646"	5852	650
"met3"	"barseq_0003"	"PBANKA_112640"	143878	"PbGEM-247776"	401	2879
"met3"	"barseq_0003"	"PBANKA_113200"	143847	"PbGEM-245029"	4221	733
"met3"	"barseq_0003"	"PBANKA_113720"	144090	"PbGEM-246799"	3357	1202
"met3"	"barseq_0003"	"PBANKA_114490"	143839	"PbGEM-248982"	4646	703
"met3"	"barseq_0003"	"PBANKA_120750"	143912	"PbGEM-245517"	2838	1423
"met3"	"barseq_0003"	"PBANKA_121010"	143968	"PbGEM-246270"	5686	401
"met3"	"barseq_0003"	"PBANKA_121840"	144020	"PbGEM-248852"	7202	401
"met3"	"barseq_0003"	"PBANKA_123000"	143841	"PbGEM-260988"	5362	927
"met3"	"barseq_0003"	"PBANKA_123140"	143862	"PbGEM-261084"	3294	855
"met3"	"barseq_0003"	"PBANKA_123490"	143935	"PbGEM-261356"	2547	3339
"met3"	"barseq_0003"	"PBANKA_123780"	143905	"PbGEM-261532"	663	1772
"met3"	"barseq_0003"	"PBANKA_123820"	143916	"PbGEM-261556"	1164	3915
"met3"	"barseq_0003"	"PBANKA_124180"	143876	"PbGEM-261796"	401	5823
"met3"	"barseq_0003"	"PBANKA_130360"	143888	"PbGEM-262428"	5452	747
"met3"	"barseq_0003"	"PBANKA_130740"	143958	"PbGEM-248987"	3357	964
"met3"	"barseq_0003"	"PBANKA_131400"	143908	"PbGEM-251416"	4682	1246
"met3"	"barseq_0003"	"PBANKA_131480"	144123	"PbGEM-251753"	4601	2351
"met3"	"barseq_0003"	"PBANKA_131820"	143902	"PbGEM-253089"	1147	5922
"met3"	"barseq_0003"	"PBANKA_132870"	143898	"PbGEM-248453"	1949	2836
"met3"	"barseq_0003"	"PBANKA_133180"	144170	"PbGEM-249676"	2789	3882
"met3"	"barseq_0003"	"PBANKA_133720"	143924	"PbGEM-251670"	4480	1399
"met3"	"barseq_0003"	"PBANKA_133990"	143917	"PbGEM-252668"	401	6174
"met3"	"barseq_0003"	"PBANKA_134570"	143837	"PbGEM-254751"	557	3129
"met3"	"barseq_0003"	"PBANKA_134800"	143857	"PbGEM-249320"	5201	1602
"met3"	"barseq_0003"	"PBANKA_140320"	143859	"PbGEM-256763"	4666	1204
"met3"	"barseq_0003"	"PBANKA_140980"	23188	"PbGEM-109800"	669	10553
"met3"	"barseq_0003"	"PBANKA_142110"	143910	"PbGEM-256982"	1050	5497
"met3"	"barseq_0003"	"PBANKA_142780"	23182	"PbGEM-110930"	401	3861
"met3"	"barseq_0003"	"PBANKA_142990"	23184	"PbGEM-255423"	673	4388
"met3"	"barseq_0003"	"PBANKA_143100"	23194	"PbGEM-111197"	6821	1000
"met3"	"barseq_0003"	"PBANKA_143400"	143900	"PbGEM-256341"	3751	2085
"met3"	"barseq_0003"	"PBANKA_143620"	143882	"PbGEM-257004"	773	1370
"met3"	"barseq_0003"	"PBANKA_143730"	143909	"PbGEM-257275"	1298	3485
"met3"	"barseq_0003"	"PBANKA_144490"	143979	"PbGEM-258539"	957	4169
"met3"	"barseq_0003"	"PBANKA_144690"	143899	"PbGEM-256413"	1987	4511
"met3"	"barseq_0003"	"PBANKA_144980"	143906	"PbGEM-257126"	3726	653
"met3"	"barseq_0003"	"PBANKA_145280"	143869	"PbGEM-257812"	579	3438
						
"met4"	"barseq_0004"	"PBANKA_010120"	181135	"PbGEM-226669"	2796	1264
"met4"	"barseq_0004"	"PBANKA_010160"	181070	"PbGEM-226701"	3863	1008
"met4"	"barseq_0004"	"PBANKA_020650"	178787	"PbGEM-228772"	6280	620
"met4"	"barseq_0004"	"PBANKA_020840"	178770	"PbGEM-229220"	2881	4512
"met4"	"barseq_0004"	"PBANKA_021230"	178897	"PbGEM-227009"	5013	2176
"met4"	"barseq_0004"	"PBANKA_030420"	178777	"PbGEM-228077"	1606	6218
"met4"	"barseq_0004"	"PBANKA_030570"	178845	"PbGEM-228342"	2095	5046
"met4"	"barseq_0004"	"PBANKA_030840"	178929	"PbGEM-228889"	401	5594
"met4"	"barseq_0004"	"PBANKA_031520"	179024	"PbGEM-230237"	1335	6310
"met4"	"barseq_0004"	"PBANKA_031600"	178821	"PbGEM-230365"	3267	749
"met4"	"barseq_0004"	"PBANKA_040150"	178784	"PbGEM-230619"	1560	3668
"met4"	"barseq_0004"	"PBANKA_040280"	178995	"PbGEM-228523"	401	7825
"met4"	"barseq_0004"	"PBANKA_040460"	178819	"PbGEM-228894"	4118	3286
