TgID,PfID,PbID,toxophenotype
TGGT1_211440,#N/A,#N/A,-5.67
TGGT1_246475,PF3D7_0719800,PBANKA_0617300,-5.66
TGGT1_211680,PF3D7_0827900,PBANKA_0702800,-5.65
TGGT1_260200,#N/A,#N/A,-5.65
TGGT1_295410,#N/A,#N/A,-5.64
TGGT1_295040,PF3D7_0815200,PBANKA_1422400,-5.63
TGGT1_244420,PF3D7_0109700,PBANKA_0203900,-5.63
TGGT1_205615,#N/A,#N/A,-5.62
TGGT1_312905,#N/A,#N/A,-5.62
TGGT1_309120,PF3D7_0507100,PBANKA_1106700,-5.62
TGGT1_231030,#N/A,#N/A,-5.61
TGGT1_268250,PF3D7_1241100,PBANKA_1454500,-5.61
TGGT1_314750,#N/A,#N/A,-5.6
TGGT1_216390,#N/A,#N/A,-5.6
TGGT1_235540,PF3D7_1010600,PBANKA_1209000,-5.6
TGGT1_208820,PF3D7_1337200,PBANKA_1351000,-5.59
TGGT1_268260,#N/A,#N/A,-5.59
TGGT1_236930,#N/A,#N/A,-5.59
TGGT1_300000,PF3D7_1341300,PBANKA_1354500,-5.59
TGGT1_242260,#N/A,#N/A,-5.58
TGGT1_260420,PF3D7_0616200,PBANKA_1115700,-5.58
TGGT1_236650,#N/A,#N/A,-5.58
TGGT1_310118,PF3D7_1445300,PBANKA_1309100,-5.58
TGGT1_225800,PF3D7_1413500,PBANKA_1029200,-5.57
TGGT1_232190,#N/A,#N/A,-5.57
TGGT1_246500,PF3D7_1474500,PBANKA_1301700,-5.56
TGGT1_233245,#N/A,#N/A,-5.55
TGGT1_312570,#N/A,#N/A,-5.55
TGGT1_233550A,#N/A,#N/A,-5.54
TGGT1_225440,#N/A,#N/A,-5.54
TGGT1_263800,#N/A,#N/A,-5.54
TGGT1_249970,PF3D7_0414600,PBANKA_0716600,-5.53
TGGT1_239100,PF3D7_1302800,PBANKA_1401300,-5.53
TGGT1_229950,PF3D7_0413600,PBANKA_0715600,-5.53
TGGT1_230890,#N/A,#N/A,-5.53
TGGT1_311400,PF3D7_0214100,PBANKA_0311000,-5.53
TGGT1_233520,#N/A,#N/A,-5.53
TGGT1_311720,#N/A,#N/A,-5.5
TGGT1_270570,#N/A,#N/A,-5.5
TGGT1_304990,PF3D7_1462300,PBANKA_1326000,-5.5
TGGT1_219800,PF3D7_0406100,PBANKA_1003800,-5.49
TGGT1_213900,PF3D7_0711500,PBANKA_1222100,-5.48
TGGT1_209900,PF3D7_0320600,PBANKA_1217900,-5.48
TGGT1_266060,PF3D7_1026800,PBANKA_0510900,-5.48
TGGT1_240970,PF3D7_1221800,PBANKA_1437000,-5.47
TGGT1_242070,#N/A,#N/A,-5.46
TGGT1_202180,#N/A,#N/A,-5.46
TGGT1_291680,PF3D7_0822600,PBANKA_0708000,-5.46
TGGT1_216730,PF3D7_0527000,PBANKA_1241800,-5.46
TGGT1_291310,PF3D7_1354400,PBANKA_1131000,-5.45
TGGT1_215020,PF3D7_0105500,PBANKA_0207800,-5.45
TGGT1_275830,#N/A,#N/A,-5.45
TGGT1_252490,PF3D7_1406700,PBANKA_1035500,-5.45
TGGT1_269290,#N/A,#N/A,-5.45
TGGT1_290620,#N/A,#N/A,-5.44
TGGT1_281370,PF3D7_1015500,PBANKA_1213900,-5.44
TGGT1_254400,#N/A,#N/A,-5.44
TGGT1_219700,PF3D7_1317100,PBANKA_1415600,-5.43
TGGT1_230420,#N/A,#N/A,-5.43
TGGT1_228710,#N/A,#N/A,-5.42
TGGT1_313910,#N/A,#N/A,-5.42
TGGT1_271390,PF3D7_1247900,PBANKA_1460800,-5.42
TGGT1_232380,PF3D7_1448000,PBANKA_1311800,-5.42
TGGT1_232240,#N/A,#N/A,-5.42
TGGT1_288350,PF3D7_0708500,PBANKA_1219000,-5.41
TGGT1_238895,#N/A,#N/A,-5.41
TGGT1_285780,#N/A,#N/A,-5.41
TGGT1_260360,PF3D7_0824300,PBANKA_0706300,-5.4
TGGT1_240810,#N/A,#N/A,-5.4
TGGT1_201220,PF3D7_0517900,PBANKA_1232700,-5.4
TGGT1_286140,#N/A,#N/A,-5.4
TGGT1_226830,PF3D7_1344200,PBANKA_1357200,-5.4
TGGT1_313060,PF3D7_1250600,PBANKA_1463500,-5.39
TGGT1_222230,#N/A,#N/A,-5.39
TGGT1_271920,#N/A,#N/A,-5.39
TGGT1_230700,#N/A,#N/A,-5.39
TGGT1_285220,#N/A,#N/A,-5.39
TGGT1_223000,PF3D7_1213600,PBANKA_1429400,-5.38
TGGT1_313990,#N/A,#N/A,-5.38
TGGT1_267510,PF3D7_1425700,PBANKA_1018900,-5.38
TGGT1_259172,#N/A,#N/A,-5.37
TGGT1_231410,PF3D7_1125100,PBANKA_0923200,-5.37
TGGT1_254280,#N/A,#N/A,-5.37
TGGT1_284560,PF3D7_1323100,PBANKA_1338300,-5.37
TGGT1_269140,PF3D7_1437800,PBANKA_0611000,-5.37
TGGT1_213240,#N/A,#N/A,-5.36
TGGT1_217780,#N/A,#N/A,-5.36
TGGT1_225000,PF3D7_1316900,PBANKA_1415400,-5.36
TGGT1_227290,#N/A,#N/A,-5.36
TGGT1_218760,PF3D7_0509000,PBANKA_1108600,-5.35
TGGT1_228660,#N/A,#N/A,-5.35
TGGT1_306950,#N/A,#N/A,-5.35
TGGT1_243920,PF3D7_1211700,PBANKA_0610200,-5.35
TGGT1_229740,PF3D7_0812000,PBANKA_1425500,-5.35
TGGT1_297745,#N/A,#N/A,-5.34
TGGT1_213350,PF3D7_1317800,PBANKA_1416300,-5.34
TGGT1_205220,PF3D7_1110200,PBANKA_0937400,-5.34
TGGT1_295710,#N/A,#N/A,-5.34
TGGT1_215750,#N/A,#N/A,-5.33
TGGT1_251600,PF3D7_0921800,PBANKA_0822700,-5.33
TGGT1_265530,#N/A,#N/A,-5.33
TGGT1_212780,#N/A,#N/A,-5.33
TGGT1_250050,#N/A,#N/A,-5.33
TGGT1_315140,#N/A,#N/A,-5.33
TGGT1_252290,PF3D7_0812400,PBANKA_1425100,-5.32
TGGT1_251610,#N/A,#N/A,-5.32
TGGT1_253090,PF3D7_1021500,PBANKA_0505700,-5.32
TGGT1_246630,#N/A,#N/A,-5.32
TGGT1_202380,PF3D7_1242800,PBANKA_1456200,-5.31
TGGT1_261050,PF3D7_1359300,PBANKA_1135600,-5.31
TGGT1_257560,PF3D7_1033500,PBANKA_0517300,-5.3
TGGT1_288720,PF3D7_1414300,PBANKA_1028400,-5.3
TGGT1_312230,PF3D7_1433500,PBANKA_1011400,-5.3
TGGT1_316610,#N/A,#N/A,-5.3
TGGT1_295680,PF3D7_0802300,PBANKA_1227900,-5.3
TGGT1_265190,#N/A,#N/A,-5.29
TGGT1_273445,PF3D7_1103400,PBANKA_0943500,-5.29
TGGT1_265220,PF3D7_1124700,PBANKA_0923600,-5.29
TGGT1_316400A,#N/A,#N/A,-5.29
TGGT1_294250,PF3D7_1116400,PBANKA_0931600,-5.29
TGGT1_230000,#N/A,#N/A,-5.29
TGGT1_289710,#N/A,#N/A,-5.29
TGGT1_263150,#N/A,#N/A,-5.29
TGGT1_261850,#N/A,#N/A,-5.28
TGGT1_249240,PF3D7_1434200,PBANKA_1010600,-5.28
TGGT1_227600,PF3D7_0710600,PBANKA_1221200,-5.27
TGGT1_235990,#N/A,#N/A,-5.27
TGGT1_234610,#N/A,#N/A,-5.27
TGGT1_214770,PF3D7_0512600,PBANKA_1112300,-5.27
TGGT1_218000,#N/A,#N/A,-5.27
TGGT1_300030,#N/A,#N/A,-5.27
TGGT1_209090,#N/A,#N/A,-5.27
TGGT1_270250,#N/A,#N/A,-5.27
TGGT1_222140,#N/A,#N/A,-5.27
TGGT1_209880,#N/A,#N/A,-5.26
TGGT1_203950,#N/A,#N/A,-5.25
TGGT1_224190,PF3D7_1223400,PBANKA_1438300,-5.24
TGGT1_258070,#N/A,#N/A,-5.24
TGGT1_204380,#N/A,#N/A,-5.24
TGGT1_213770,PF3D7_0602100,PBANKA_0100900,-5.24
TGGT1_211700,#N/A,#N/A,-5.23
TGGT1_270900,PF3D7_0111300,PBANKA_0202500,-5.23
TGGT1_261520,PF3D7_0612900,PBANKA_0111200,-5.23
TGGT1_219200,PF3D7_1251500,PBANKA_1464500,-5.23
TGGT1_208580,PF3D7_1304100,PBANKA_1402600,-5.23
TGGT1_218610,PF3D7_1020700,PBANKA_0504900,-5.23
TGGT1_204550,#N/A,#N/A,-5.23
TGGT1_295320,PF3D7_0801500,PBANKA_1228700,-5.23
TGGT1_211420,#N/A,#N/A,-5.22
TGGT1_264780,PF3D7_1343600,PBANKA_1356600,-5.22
TGGT1_308000,#N/A,#N/A,-5.22
TGGT1_307040,#N/A,#N/A,-5.22
TGGT1_205710,PF3D7_1350100,PBANKA_1362900,-5.22
TGGT1_224230,#N/A,#N/A,-5.22
TGGT1_299050,PF3D7_1351400,PBANKA_1364200,-5.22
TGGT1_311430,PF3D7_1407100,PBANKA_1035100,-5.21
TGGT1_321550,#N/A,#N/A,-5.21
TGGT1_261510,PF3D7_1010800,PBANKA_1209200,-5.21
TGGT1_231150,#N/A,#N/A,-5.21
TGGT1_267390,PF3D7_1143300,PBANKA_0905700,-5.2
TGGT1_245570,PF3D7_0705300,PBANKA_0803000,-5.2
TGGT1_220860,PF3D7_1459000,PBANKA_1322700,-5.2
TGGT1_235905,#N/A,#N/A,-5.2
TGGT1_209950,PF3D7_1104400,PBANKA_0942500,-5.2
TGGT1_247648,#N/A,#N/A,-5.2
TGGT1_224280,#N/A,#N/A,-5.19
TGGT1_230630,#N/A,#N/A,-5.19
TGGT1_226960,#N/A,#N/A,-5.19
TGGT1_321500,#N/A,#N/A,-5.18
TGGT1_242800,PF3D7_0707900,PBANKA_0805100,-5.18
TGGT1_243950,PF3D7_0829200,PBANKA_0701500,-5.18
TGGT1_301270,#N/A,#N/A,-5.18
TGGT1_216860,PF3D7_0209800,PBANKA_0306800,-5.17
TGGT1_248320,PF3D7_0407500,PBANKA_1005100,-5.17
TGGT1_260800,#N/A,#N/A,-5.17
TGGT1_316760,PF3D7_1115000,PBANKA_0932700,-5.16
TGGT1_292310,#N/A,#N/A,-5.16
TGGT1_288400,PF3D7_0417300,PBANKA_0719400,-5.15
TGGT1_269980,PF3D7_1346100,PBANKA_1359000,-5.15
TGGT1_312400,PF3D7_1307000,PBANKA_1405500,-5.15
TGGT1_271170,#N/A,#N/A,-5.15
TGGT1_286050,PF3D7_0529300,PBANKA_1243800,-5.15
TGGT1_318410,PF3D7_0608700,PBANKA_0107300,-5.15
TGGT1_271350,PF3D7_1324800,PBANKA_1340000,-5.14
TGGT1_241860,PF3D7_1032400,PBANKA_0516200,-5.14
TGGT1_261240,#N/A,#N/A,-5.14
TGGT1_207940,PF3D7_1137100,PBANKA_0911600,-5.14
TGGT1_243570,PF3D7_0217800,PBANKA_0314500,-5.14
TGGT1_254570,#N/A,#N/A,-5.14
TGGT1_289790,#N/A,#N/A,-5.13
TGGT1_270100,PF3D7_1409100,PBANKA_1033400,-5.13
TGGT1_248300,#N/A,#N/A,-5.13
TGGT1_224260,#N/A,#N/A,-5.13
TGGT1_202530,PF3D7_0102900,PBANKA_0210200,-5.13
TGGT1_239350,#N/A,#N/A,-5.13
TGGT1_228190,PF3D7_0918300,PBANKA_0819300,-5.13
TGGT1_203490,#N/A,#N/A,-5.13
TGGT1_272550,#N/A,#N/A,-5.13
TGGT1_291300,PF3D7_0903100,PBANKA_0418300,-5.12
TGGT1_218490,#N/A,#N/A,-5.12
TGGT1_275810,PF3D7_0719700,PBANKA_0617200,-5.12
TGGT1_247700,#N/A,#N/A,-5.12
TGGT1_279360,#N/A,#N/A,-5.12
TGGT1_280690,#N/A,#N/A,-5.12
TGGT1_211470,#N/A,#N/A,-5.11
TGGT1_202800,PF3D7_1475300,PBANKA_1300900,-5.11
TGGT1_278440,#N/A,#N/A,-5.11
TGGT1_218800,#N/A,#N/A,-5.11
TGGT1_305780,#N/A,#N/A,-5.1
TGGT1_225930,#N/A,#N/A,-5.1
TGGT1_210980,#N/A,#N/A,-5.1
TGGT1_258210,#N/A,#N/A,-5.1
TGGT1_295010,PF3D7_1332700,PBANKA_1347500,-5.1
TGGT1_254440,PF3D7_0517000,PBANKA_1231800,-5.1
TGGT1_215430,PF3D7_1105800,PBANKA_0941100,-5.1
TGGT1_247550,PF3D7_1015600,PBANKA_1214000,-5.1
TGGT1_286920,#N/A,#N/A,-5.1
TGGT1_235150,#N/A,#N/A,-5.1
TGGT1_216590,PF3D7_0627700,PBANKA_1126400,-5.1
TGGT1_224960,PF3D7_0204200,PBANKA_0302000,-5.1
TGGT1_251780,PF3D7_1134000,PBANKA_0914400,-5.09
TGGT1_307610,#N/A,#N/A,-5.09
TGGT1_227890,#N/A,#N/A,-5.09
TGGT1_312360,#N/A,#N/A,-5.09
TGGT1_231750,#N/A,#N/A,-5.09
TGGT1_234420,PF3D7_0707400,PBANKA_0804600,-5.08
TGGT1_230950,#N/A,#N/A,-5.08
TGGT1_275980,PF3D7_1112200,PBANKA_0935400,-5.08
TGGT1_230870,#N/A,#N/A,-5.08
TGGT1_223960,PF3D7_0807800,PBANKA_1222900,-5.08
TGGT1_300200,PF3D7_0320900,PBANKA_1217600,-5.08
TGGT1_285830,#N/A,#N/A,-5.08
TGGT1_249250,PF3D7_1142600,PBANKA_0906400,-5.08
TGGT1_235170,PF3D7_0219600,PBANKA_0316000,-5.07
TGGT1_254900,PF3D7_1470900,PBANKA_1334100,-5.07
TGGT1_289300,PF3D7_1034900,PBANKA_0518700,-5.07
TGGT1_293370,#N/A,#N/A,-5.07
TGGT1_268920,#N/A,#N/A,-5.07
TGGT1_311810,#N/A,#N/A,-5.07
TGGT1_202350,#N/A,#N/A,-5.07
TGGT1_238240,PF3D7_1109400,PBANKA_0937800,-5.07
TGGT1_310900,#N/A,#N/A,-5.07
TGGT1_216880,PF3D7_0826700,PBANKA_0703900,-5.07
TGGT1_274190,#N/A,#N/A,-5.07
TGGT1_219440,#N/A,#N/A,-5.07
TGGT1_272720,PF3D7_0705000,PBANKA_0802700,-5.07
TGGT1_238170,#N/A,#N/A,-5.06
TGGT1_320480,PF3D7_1340700,PBANKA_1354100,-5.06
TGGT1_244520,PF3D7_0321200,PBANKA_1217300,-5.05
TGGT1_215160,#N/A,#N/A,-5.05
TGGT1_232520,PF3D7_1028400,PBANKA_0512500,-5.05
TGGT1_211690,PF3D7_0703500,PBANKA_0801200,-5.05
TGGT1_266400,#N/A,#N/A,-5.05
TGGT1_257700,#N/A,#N/A,-5.05
TGGT1_229180,PF3D7_0524000,PBANKA_1238800,-5.05
TGGT1_257330,#N/A,#N/A,-5.05
TGGT1_246560,PF3D7_1323200,PBANKA_1338400,-5.05
TGGT1_213300,#N/A,#N/A,-5.04
TGGT1_286560,PF3D7_1209200,PBANKA_0607600,-5.04
TGGT1_271280,PF3D7_1466700,PBANKA_1330100,-5.04
TGGT1_250810,PF3D7_1124900,PBANKA_0923400,-5.04
TGGT1_211400,#N/A,#N/A,-5.04
TGGT1_257710,PF3D7_0719300,PBANKA_0616800,-5.04
TGGT1_271060,PF3D7_0216400,PBANKA_0313100,-5.04
TGGT1_289770,PF3D7_1311400,PBANKA_1409900,-5.03
TGGT1_205740,#N/A,#N/A,-5.03
TGGT1_244000,PF3D7_1418900,PBANKA_1024300,-5.03
TGGT1_260470,PF3D7_1455600,PBANKA_1319300,-5.03
TGGT1_228720,#N/A,#N/A,-5.03
TGGT1_242820,#N/A,#N/A,-5.03
TGGT1_256030,PF3D7_0517800,PBANKA_1232600,-5.03
TGGT1_312065,#N/A,#N/A,-5.02
TGGT1_290170,PF3D7_1466100,PBANKA_1329500,-5.02
TGGT1_218070,#N/A,#N/A,-5.02
TGGT1_213392,#N/A,#N/A,-5.02
TGGT1_225850,#N/A,#N/A,-5.02
TGGT1_270070,PF3D7_0320100,PBANKA_1218400,-5.01
TGGT1_235970,PF3D7_1410600,PBANKA_1031900,-5.01
TGGT1_271470,#N/A,#N/A,-5.01
TGGT1_214750,#N/A,#N/A,-5.01
TGGT1_265410,PF3D7_1220100,PBANKA_1435300,-5.01
TGGT1_230860,#N/A,#N/A,-5.01
TGGT1_227820,#N/A,#N/A,-5.01
TGGT1_207990,#N/A,#N/A,-5.01
TGGT1_281545,#N/A,#N/A,-5.01
TGGT1_283550,#N/A,#N/A,-5.01
TGGT1_268350,#N/A,#N/A,-5.01
TGGT1_258970,#N/A,#N/A,-5.01
TGGT1_267790,#N/A,#N/A,-5
TGGT1_229310,#N/A,#N/A,-5
TGGT1_240710,PF3D7_1402700,PBANKA_1039300,-5
TGGT1_300060,PF3D7_0904400,PBANKA_0417000,-5
TGGT1_215930,#N/A,#N/A,-5
TGGT1_309810,PF3D7_0309600,PBANKA_0407700,-5
TGGT1_270810,#N/A,#N/A,-5
TGGT1_292975,#N/A,#N/A,-5
TGGT1_282170,#N/A,#N/A,-5
TGGT1_204020,#N/A,#N/A,-4.99
TGGT1_220250,#N/A,#N/A,-4.99
TGGT1_253160,#N/A,#N/A,-4.99
TGGT1_304720,#N/A,#N/A,-4.99
TGGT1_269250,PF3D7_0912900,PBANKA_0813900,-4.99
TGGT1_308030,#N/A,#N/A,-4.99
TGGT1_320005,PF3D7_1025700,PBANKA_0509900,-4.99
TGGT1_285700,PF3D7_0916500,PBANKA_0817500,-4.99
TGGT1_222120,#N/A,#N/A,-4.99
TGGT1_259168,#N/A,#N/A,-4.99
TGGT1_462963,PF3D7_1115500,PBANKA_0932300,-4.98
TGGT1_260250,#N/A,#N/A,-4.98
TGGT1_251570A,#N/A,#N/A,-4.98
TGGT1_216480,PF3D7_0729300,PBANKA_0213400,-4.98
TGGT1_256810,PF3D7_0108600,PBANKA_0204900,-4.98
TGGT1_260260,PF3D7_1103100,PBANKA_0943600,-4.98
TGGT1_262100,PF3D7_1205600,PBANKA_0604300,-4.98
TGGT1_210280,PF3D7_0605300,PBANKA_0104100,-4.97
TGGT1_246520,#N/A,#N/A,-4.97
TGGT1_260610,PF3D7_0522300,PBANKA_1237000,-4.97
TGGT1_246100,PF3D7_0516400,PBANKA_1231200,-4.97
TGGT1_205010,PF3D7_0308900,PBANKA_0407100,-4.97
TGGT1_273760,#N/A,#N/A,-4.97
TGGT1_214110,PF3D7_1472100,PBANKA_1335300,-4.96
TGGT1_410250,#N/A,#N/A,-4.96
TGGT1_246978,#N/A,#N/A,-4.96
TGGT1_269000,PF3D7_1447900,PBANKA_1311700,-4.96
TGGT1_314530,#N/A,#N/A,-4.96
TGGT1_305160,#N/A,#N/A,-4.96
TGGT1_260140,PF3D7_0801800,PBANKA_1228400,-4.96
TGGT1_258832,#N/A,#N/A,-4.96
TGGT1_229990,PF3D7_1132200,PBANKA_0916200,-4.96
TGGT1_234970,PF3D7_1148000,PBANKA_0901100,-4.96
TGGT1_209160,PF3D7_1412800,PBANKA_1029800,-4.96
TGGT1_256820,PF3D7_1315400,PBANKA_1413900,-4.96
TGGT1_228210,PF3D7_1306400,PBANKA_1404900,-4.96
TGGT1_214970,PF3D7_1417800,PBANKA_1024900,-4.96
TGGT1_242830,#N/A,#N/A,-4.96
TGGT1_313510,#N/A,#N/A,-4.96
TGGT1_306970,PF3D7_1251300,PBANKA_1464200,-4.96
TGGT1_210840,PF3D7_1218600,PBANKA_1434200,-4.95
TGGT1_238180,PF3D7_1129200,PBANKA_0919000,-4.95
TGGT1_279330,PF3D7_0218400,PBANKA_0315100,-4.95
TGGT1_265770,#N/A,#N/A,-4.95
TGGT1_319910,#N/A,#N/A,-4.95
TGGT1_309390,PF3D7_0313200,PBANKA_0410900,-4.95
TGGT1_258540,#N/A,#N/A,-4.95
TGGT1_201830,PF3D7_1123700,PBANKA_0924600,-4.94
TGGT1_295590,#N/A,#N/A,-4.94
TGGT1_313560,PF3D7_0419800,PBANKA_0721900,-4.94
TGGT1_228470,PF3D7_0415900,PBANKA_0717800,-4.94
TGGT1_268720,#N/A,#N/A,-4.94
TGGT1_239870,#N/A,#N/A,-4.94
TGGT1_239500,PF3D7_1353800,PBANKA_1130400,-4.94
TGGT1_215470,PF3D7_1441200,PBANKA_1305100,-4.94
TGGT1_264640,PF3D7_1212900,PBANKA_1428900,-4.94
TGGT1_237830,#N/A,#N/A,-4.93
TGGT1_270140,PF3D7_1231500,PBANKA_1446200,-4.93
TGGT1_410210,#N/A,#N/A,-4.93
TGGT1_242880,PF3D7_0816100,PBANKA_0714700,-4.93
TGGT1_306310,PF3D7_0414000,PBANKA_0716000,-4.93
TGGT1_244380,PF3D7_0804000,PBANKA_1226400,-4.92
TGGT1_309740,PF3D7_0909800,PBANKA_0811000,-4.92
TGGT1_242330,PF3D7_0721600,PBANKA_0619100,-4.92
TGGT1_286080,PF3D7_1003800,PBANKA_1202200,-4.92
TGGT1_215740,PF3D7_1146000,PBANKA_0903000,-4.92
TGGT1_257650,#N/A,#N/A,-4.92
TGGT1_230940,#N/A,#N/A,-4.92
TGGT1_305060,#N/A,#N/A,-4.91
TGGT1_270780,PF3D7_0303300,PBANKA_0401900,-4.91
TGGT1_271400,#N/A,#N/A,-4.91
TGGT1_315860,#N/A,#N/A,-4.91
TGGT1_212220,#N/A,PBANKA_1104300,-4.91
TGGT1_223125,#N/A,#N/A,-4.91
TGGT1_321620,#N/A,#N/A,-4.91
TGGT1_226280,PF3D7_1456600,PBANKA_1320300,-4.91
TGGT1_233080,#N/A,#N/A,-4.9
TGGT1_254580,PF3D7_1113300,PBANKA_0934300,-4.9
TGGT1_320570,PF3D7_1123400,PBANKA_0924900,-4.9
TGGT1_267620,#N/A,#N/A,-4.9
TGGT1_286180,#N/A,#N/A,-4.9
TGGT1_237240,PF3D7_0106400,PBANKA_0206900,-4.9
TGGT1_313240,#N/A,#N/A,-4.89
TGGT1_314955,#N/A,#N/A,-4.89
TGGT1_319300,#N/A,#N/A,-4.89
TGGT1_287500,PF3D7_0214000,PBANKA_0310900,-4.89
TGGT1_204140,#N/A,#N/A,-4.89
TGGT1_289830,PF3D7_0716800,PBANKA_0614500,-4.89
TGGT1_293600,PF3D7_1034200,PBANKA_0518000,-4.89
TGGT1_294620,PF3D7_1206200,PBANKA_0604800,-4.89
TGGT1_217580,PF3D7_1421400,PBANKA_1021900,-4.89
TGGT1_309940,PF3D7_0609400,PBANKA_0108000,-4.88
TGGT1_292000,#N/A,#N/A,-4.88
TGGT1_264200,#N/A,#N/A,-4.88
TGGT1_220300,#N/A,#N/A,-4.88
TGGT1_312430,#N/A,#N/A,-4.88
TGGT1_291690,#N/A,#N/A,-4.88
TGGT1_235620,PF3D7_1412600,PBANKA_1030000,-4.87
TGGT1_289520,#N/A,#N/A,-4.87
TGGT1_212960A,#N/A,#N/A,-4.87
TGGT1_244290,PF3D7_0904100,PBANKA_0417300,-4.87
TGGT1_260170,#N/A,#N/A,-4.87
TGGT1_298970,PF3D7_0819900,PBANKA_0710900,-4.87
TGGT1_259240,PF3D7_1144000,PBANKA_0905000,-4.87
TGGT1_214280,PF3D7_1015000,PBANKA_1213400,-4.87
TGGT1_314410,PF3D7_1352700,PBANKA_1365300,-4.86
TGGT1_226520,#N/A,#N/A,-4.86
TGGT1_205160,#N/A,#N/A,-4.86
TGGT1_267530,#N/A,#N/A,-4.86
TGGT1_297840,PF3D7_0910900,PBANKA_0812000,-4.86
TGGT1_253870,#N/A,#N/A,-4.86
TGGT1_297530,PF3D7_1134700,PBANKA_0913800,-4.85
TGGT1_246170,#N/A,#N/A,-4.85
